Perceptron Bipolarny;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;1,411;1,37;1,366;1,312;1,338;1,326;1,306;1,279;1,318;1,322;1,314;1,309;1,330916667
0,8;1,496;1,37;1,368;1,33;1,335;1,292;1,329;1,317;1,324;1,309;1,294;1,326;1,340833333
0,7;1,552;1,54;1,435;1,345;1,31;1,295;1,316;1,321;1,301;1,318;1,33;1,344;1,36725
0,6;1,675;1,603;1,509;1,445;1,351;1,326;1,302;1,331;1,323;1,3;1,321;1,298;1,398666667
0,5;1,799;1,751;1,668;1,59;1,453;1,355;1,325;1,309;1,335;1,301;1,317;1,273;1,456333333
0,4;1,684;1,776;1,762;1,724;1,666;1,534;1,352;1,299;1,307;1,292;1,31;1,334;1,503333333
0,3;1,65;1,699;1,699;1,778;1,824;1,686;1,562;1,349;1,306;1,309;1,289;1,316;1,538916667
0,25;1,778;1,692;1,666;1,729;1,775;1,773;1,647;1,474;1,327;1,318;1,312;1,319;1,5675
0,2;1,901;1,855;1,742;1,677;1,647;1,7;1,72;1,648;1,357;1,328;1,303;1,311;1,599083333
0,15;2,145;2,065;1,954;1,827;1,722;1,673;1,698;1,814;1,549;1,34;1,336;1,307;1,7025
0,1;2,633;2,47;2,294;2,154;2,009;1,875;1,766;1,738;1,822;1,355;1,301;1,317;1,8945
0,05;4,389;3,961;3,669;3,253;3,045;2,624;2,324;1,997;1,777;1,804;1,348;1,314;2,625416667
0,04;5,34;4,778;4,361;3,863;3,411;3,05;2,619;2,167;1,917;1,719;1,452;1,343;3,001666667
0,03;6,655;6,022;5,535;4,939;4,415;3,769;3,221;2,64;2,124;1,747;1,682;1,317;3,672166667
0,02;9,774;9,017;7,736;6,906;6,104;5,236;4,465;3,517;2,612;1,872;1,748;1,302;5,024083333
0,01;18,426;16,307;14,899;13,403;11,475;9,713;8;6,044;4,334;2,611;1,872;1,373;9,038083333
Srednia:;4,01925;3,70475;3,4164375;3,1421875;2,8675;2,5766875;2,3095;2,01525;1,7520625;1,5153125;1,4080625;1,3189375;2,503828125
Perceptron Bipolarny wariancja;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;0,300079;0,2611;0,242044;0,214656;0,223756;0,219724;0,212364;0,201159;0,216876;0,218316;0,215404;0,213519;0,22824975
0,8;0,381984;0,2831;0,252576;0,2251;0,222775;0,206736;0,220759;0,216511;0,219024;0,213519;0,207564;0,219724;0,239114333
0,7;0,497296;0,4204;0,313775;0,235975;0,2199;0,207975;0,216144;0,217959;0,210399;0,216876;0,2211;0,225664;0,26695525
0,6;0,575375;0,503391;0,421919;0,298975;0,255799;0,221724;0,210796;0,221439;0,218671;0,21;0,217959;0,209196;0,297103667
0,5;0,702599;0,628999;0,583776;0,4559;0,317791;0,246975;0,219375;0,213519;0,222775;0,210399;0,216511;0,198471;0,351424167
0,4;0,674144;0,715824;0,711356;0,619824;0,570444;0,432844;0,252096;0,209599;0,212751;0,206736;0,2139;0,222444;0,4201635
0,3;0,6915;0,772399;0,732399;0,716716;0,747024;0,583404;0,464156;0,241199;0,212364;0,213519;0,205479;0,216144;0,48302525
0,25;0,756716;0,737136;0,682444;0,701559;0,774375;0,661471;0,560391;0,367324;0,224071;0,216876;0,214656;0,217239;0,5095215
0,2;0,753199;0,777975;0,727436;0,692671;0,706391;0,686;0,6656;0,594096;0,235551;0,220416;0,211191;0,214279;0,540400417
0,15;0,887975;0,816775;0,773884;0,749071;0,738716;0,710071;0,730796;0,717404;0,433599;0,2244;0,223104;0,212751;0,6015455
0,1;1,25031;1,1211;0,979564;0,814284;0,778919;0,843375;0,737244;0,761356;0,734316;0,246975;0,210399;0,216511;0,724529417
0,05;4,04168;3,09548;2,54744;2,05099;1,59497;1,28062;0,963024;0,816991;0,721271;0,711584;0,236896;0,215404;1,523029167
0,04;6,2204;4,43272;3,96868;3,25823;2,17408;1,7095;1,29584;0,945111;0,748111;0,698039;0,377696;0,225351;2,1711465
0,03;10,604;8,33952;6,68477;5,22528;3,86878;2,99364;1,92016;1,3444;0,842624;0,794991;0,642876;0,216511;3,623129333
0,02;22,6269;19,3687;14,8463;11,8632;8,46718;6,0583;3,93477;2,33971;1,30546;0,707616;0,746496;0,210796;7,706285667
0,01;93,0905;72,4008;60,0568;42,1206;36,1634;22,2006;14,45;8,49206;3,96444;1,23768;0,781616;0,269871;29,60236392
Srednia:;9,003416063;7,167213688;5,907822688;4,390189438;3,61401875;2,453934938;1,690844688;1,118739813;0,670143938;0,409246375;0,321427938;0,218992188;3,080499208
Perceptron Unipolarny;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;4,996;5,047;4,979;5,079;5,173;5,137;5,045;4,992;5,008;5,059;4,924;4,927;5,0305
0,8;5,189;5,224;5,088;5,068;5,086;5,167;4,943;5,135;5,101;5,028;5,057;5,017;5,091916667
0,7;5,016;5,114;5,094;5,214;5,043;5,066;5,003;5,013;4,964;5,043;5,223;4,984;5,06475
0,6;5,02;5,334;5,086;5,115;5,181;5,025;5,114;5;5,082;4,985;5,131;5,063;5,094666667
0,5;5,289;5,19;5,088;5,067;5,275;5,207;5,058;5,056;5,131;5,102;5,106;5,031;5,133333333
0,4;5,402;5,244;5,057;5,073;5,071;5,072;5,075;5,203;5,035;4,995;5,107;5,141;5,122916667
0,3;5,512;5,333;5,296;5,42;5,176;5,219;5,111;5,105;5,127;5,035;5,11;5,011;5,204583333
0,25;5,745;5,768;5,695;5,457;5,205;5,306;5,171;5,205;4,998;4,964;5,082;5,053;5,304083333
0,2;6,25;5,954;5,992;5,579;5,644;5,286;5,162;5,249;5,154;5,042;5,052;5,134;5,458166667
0,15;7,279;6,759;6,491;6,097;5,98;5,458;5,292;5,299;5,073;5,143;4,952;5;5,73525
0,1;9,113;8,417;7,793;7,422;6,796;6,169;5,684;5,449;5,196;5,046;5,022;5,126;6,436083333
0,05;14,824;13,857;12,534;11,575;10,147;9,087;7,78;6,799;5,8;5,277;5,009;4,926;8,967916667
0,04;17,87;16,233;15,147;13,775;11,845;10,491;9,382;7,665;6,514;5,363;5,139;5,113;10,37808333
0,03;23,204;21,285;19,196;16,729;14,996;12,801;11,128;9,167;7,145;5,569;5,22;4,965;12,61708333
0,02;33,471;30,022;28,236;24,779;20,969;17,775;15,069;11,933;8,999;6,23;5,494;4,936;17,32608333
0,01;62,884;56,89;51,98;45,605;39,41;33,346;27,617;21,065;15,091;8,81;6,542;5,098;31,19483333
Srednia:;13,5665;12,6044375;11,797;10,815875;9,8123125;8,85075;7,977125;7,0834375;6,213625;5,4181875;5,198125;5,0328125;8,697515625
Perceptron Unipolarny wariancja;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;5,26198;5,55879;5,66456;6,00076;5,63707;5,06623;5,03297;5,01594;4,60394;4,99152;5,04222;4,60567;5,206804167
0,8;5,62728;5,44582;5,36826;5,75738;6,2166;5,53311;5,09375;5,04877;4,7228;4,95922;4,92975;4,75271;5,287954167
0,7;5,62174;5,661;5,93716;5,7162;5,99715;6,06364;5,40899;5,03283;4,5527;5,14715;5,04927;4,69174;5,406630833
0,6;5,8376;6,18044;5,4926;5,45978;6,01624;5,96037;5,917;5,262;4,98128;4,62077;5,05584;4,65103;5,4529125
0,5;6,40348;6,1559;5,57026;5,56651;5,84137;6,03215;6,10864;5,70286;4,79184;4,9436;5,00476;4,95804;5,589950833
0,4;7,0824;6,55446;6,29575;5,56967;5,57596;5,51682;6,06738;5,83779;5,47577;4,70898;4,93755;4,70312;5,693804167
0,3;7,85386;7,51611;7,16638;6,3476;6,27102;6,14704;5,42068;5,35797;5,69687;4,90578;5,0839;5,05688;6,068674167
0,25;8,39398;7,36018;7,46998;7,49615;6,65698;6,10236;5,94776;5,68498;6,13;4,7047;5,11528;4,72819;6,315878333
0,2;10,2375;9,29588;8,71394;7,98776;7,22326;6,6102;6,55976;5,549;5,46228;5,19224;4,6433;5,14004;6,884596667
0,15;12,8412;11,1289;10,7579;10,1556;8,5336;7,66824;6,60074;6,2236;5,54567;5,64055;4,6597;4,686;7,870141667
0,1;20,3442;18,0951;15,0762;13,5119;11,2844;10,0564;8,07014;7,3654;6,16958;5,83388;5,13352;4,80612;10,47890333
0,05;60,007;47,0406;40,4528;32,9544;25,3094;20,8474;15,0956;11,9086;8,036;6,21627;5,83492;4,79852;23,20845917
0,04;84,0011;78,9707;59,2474;47,4184;37,729;28,2939;19,7141;13,5068;9,2878;7,09123;5,52968;4,86223;32,97102833
0,03;143,882;119,986;99,3516;74,3036;59,738;43,5074;29,9116;20,2271;13,628;8,08324;5,9736;4,48977;51,9234925
0,02;318,859;270,006;217,154;152,222;115,582;81,8444;59,8442;40,6785;20,463;9,0631;7,29196;5,1039;108,176005
0,01;1167,68;930,542;808,922;608,719;432,284;305,026;214,624;124,867;57,4627;20,9579;9,47424;5,7464;390,5254367
Srednia:;116,870895;95,9686175;81,79004938;62,19916938;46,61850313;34,39222875;25,33858188;17,07932125;10,43813938;6,691258125;5,547468125;4,8612725;42,31629203
Perceptron Adaline Bipolarny;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;11,779;11,729;11,703;12,232;11,954;11,55;12,052;11,803;11,912;12,049;11,701;11,489;11,82941667
0,8;13,335;12,975;13,073;13,028;13,086;13,619;13,003;13,119;13,53;13,359;13,378;13,582;13,25725
0,7;17,045;16,8;16,693;16,492;16,906;16,404;16,93;17,043;17,024;17,081;17,293;16,527;16,85316667
0,6;18,54;18,383;19,153;18,755;18,897;18,102;18,635;17,659;18,613;18,774;20,249;19,764;18,79366667
0,5;18,704;18,96;19,447;18,982;19,037;18,799;19,257;15,953;16,335;15,168;14,706;14,997;17,52875
0,4;19,008;19,284;17,838;20,456;18,824;18,121;18,152;17,74;17,167;15,602;16,399;16,202;17,89941667
0,3;8,354;8,844;7,711;8,222;8,046;7,972;7,385;8,102;7,091;7,768;8,267;8,166;7,994
0,25;5,666;5,706;5,715;5,491;4,943;5,061;4,776;4,298;4,489;4,427;4,27;4,445;4,940583333
0,2;2,446;2,26;2,196;2,181;2,248;2,117;2,21;2,31;2,208;2,357;2,43;2,394;2,27975
0,15;1,235;1,203;1,207;1,196;1,229;1,209;1,21;1,215;1,228;1,247;1,24;1,252;1,222583333
0,1;1,429;1,363;1,284;1,22;1,171;1,09;1,065;1,027;1,007;1;1;1;1,138
0,05;2,679;2,575;2,405;2,224;2,101;1,948;1,752;1,484;1,224;1,005;1;1;1,783083333
0,04;3,329;3,175;2,978;2,781;2,56;2,306;2,047;1,765;1,431;1,04;1;1;2,117666667
0,03;4,362;4,196;3,916;3,597;3,346;2,979;2,671;2,272;1,747;1,206;1,001;1;2,691083333
0,02;6,402;6,269;5,784;5,45;5,022;4,324;3,839;3,15;2,468;1,621;1,115;1;3,870333333
0,01;12,722;11,926;11,302;10,241;9,19;8,389;7,35;5,948;4,452;2,739;1,722;1;7,248416667
Srednia:;9,1896875;9,103;8,9003125;8,90925;8,66;8,374375;8,270875;7,8055;7,620375;7,2776875;7,2981875;7,176125;8,215447917
Perceptron Adaline Bipolarny wariancja;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;103,636;114,878;113,471;115,796;118,852;105,533;119,371;117,436;111,012;112,509;117,708;105,908;113,0091667
0,8;146,367;143,226;173,248;151,673;148,785;180,82;144,775;145,903;143,431;134,208;145,553;150,445;150,7028333
0,7;231,563;253,054;240,295;275,358;237,561;246,229;248,785;263,507;258,873;269,654;263,559;252,367;253,4004167
0,6;287,69;311,512;297,112;298,725;331,648;307,502;294,418;315,761;325,925;318,541;338,651;320,718;312,35025
0,5;287,602;295,064;340,683;301,462;329,96;349,093;342,027;267,371;293,611;291,71;297,838;311,167;308,9656667
0,4;401,286;436,549;330,676;482,922;433,153;403,11;426,101;450,57;416,611;349,11;349,744;368,023;403,9879167
0,3;71,2987;77,2417;61,8235;75,2527;69,8679;75,6652;69,6208;79,5916;61,2207;71,6422;77,3797;76,1924;72,23309167
0,25;35,2144;36,3596;34,9818;32,6079;31,2298;29,9333;29,7458;23,2752;29,5719;28,5167;27,9971;31,369;30,90020833
0,2;4,30108;3,4704;3,51558;3,82224;3,6985;3,18331;3,5439;3,6559;3,24874;3,94155;4,1091;3,73476;3,685421667
0,15;0,181775;0,161791;0,164151;0,157584;0,176559;0,165319;0,1659;0,168775;0,176016;0,185991;0,1824;0,188496;0,172896417
0,1;0,244959;0,231231;0,203344;0,1716;0,141759;0,0819;0,060775;0,026271;0,006951;4,44E-31;4,44E-31;4,44E-31;0,097399167
0,05;0,943959;0,724375;0,704975;0,615824;0,500799;0,435296;0,338496;0,259744;0,173824;0,004975;4,44E-31;4,44E-31;0,391855583
0,04;1,48476;1,30837;1,10752;1,02304;0,8804;0,796364;0,534791;0,399775;0,247239;0,0384;4,44E-31;4,44E-31;0,651721583
0,03;2,71496;2,54958;2,11294;2,12859;1,73828;1,34856;1,07476;0,748016;0,422991;0,163564;0,000999;4,44E-31;1,25027
0,02;6,7784;5,86464;5,58934;4,8455;3,98552;3,33102;2,52308;1,7815;0,974976;0,367359;0,101775;4,44E-31;3,011925833
0,01;28,9167;28,4765;24,5568;20,4409;18,2119;14,8117;10,8795;7,0933;4,1257;1,28288;0,424716;4,44E-31;13,268383
Srednia:;100,6389808;106,9169492;101,8903094;110,4376174;108,1494011;107,6274356;105,8728001;104,8467551;103,1020023;98,86722619;101,4530494;101,257041;104,254964
Perceptron Adaline Unipolarny;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;70,94;67,364;67,09;64,81;66,84;66,139;66,721;64,412;67,035;65,072;63,199;63,148;66,06416667
0,8;161,15;152,459;139,794;137,662;138,539;144,11;141,757;142,227;141,744;142,374;139,949;140,853;143,5515
0,7;201,042;202,4;214,347;206,543;222,696;221,868;222,576;216,635;216,407;221,48;222,649;222,829;215,956
0,6;311,969;305,179;314,332;306,778;305,504;307,411;308,053;306,717;309,326;306,042;312,363;316,013;309,1405833
0,5;1986,01;1990,01;1988,01;1996;1994,01;1996,01;1983,08;1990,72;1992,73;1998,02;1998,04;2000;1992,72
0,4;25,638;25,687;25,719;26,325;25,402;26,176;25,82;26,391;25,957;26,636;26,279;26,003;26,00275
0,3;5,328;4,977;5,026;4,854;4,932;4,978;4,828;4,828;4,551;4,658;4,61;4,557;4,843916667
0,25;63,437;57,229;60,178;59,706;62,355;58,211;59,95;60,633;60,986;59,865;61,764;59,513;60,31891667
0,2;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
0,15;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
0,1;1998;2000;2000;1998;2000;2000;2000;2000;2000;2000;2000;2000;1999,666667
0,05;1962,02;1954,02;1954,03;1968,02;1988,01;1994;1988,01;1996;2000;2000;2000;2000;1983,675833
0,04;1928,04;1934,04;1962,02;1968,02;1972,01;1988,01;1980,01;1994;1998;2000;2000;2000;1977,0125
0,03;1916,06;1940,04;1948,04;1942,04;1948,04;1966,02;1978,01;1966,02;1986,01;2000;2000;2000;1965,856667
0,02;1876,15;1904,09;1930,07;1910,09;1922,07;1940,05;1930,06;1956,03;1978,01;1994;2000;2000;1945,051667
0,01;1880,26;1892,17;1872,25;1876,23;1898,16;1910,13;1906,14;1900,11;1950,04;1970,02;1994;2000;1920,7925
Srednia:;1149,12775;1151,854063;1155,056625;1154,067375;1159,2855;1163,944563;1162,188438;1164,045188;1170,67475;1174,260438;1176,428313;1177,05725;1163,165854
Perceptron Adaline Unipolarny wariancja;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;14888,7;11336,1;11200,4;11137,2;10962,7;11235,2;11271,3;11227,7;14898,6;11177,8;11127,9;11230,2;11807,81667
0,8;91656,3;68666,9;50906,9;54277,1;51903,4;64906,3;57775,1;61342,2;57757,5;61481,1;58136,5;61725,8;61711,25833
0,7;83589,1;89276,5;107539;98770,4;108870;111530;102884;102662;97029,7;97898,1;96844;96788,6;99473,45
0,6;82451,7;78863,7;81833,5;79721,8;78762,8;80134;81290,8;80089,9;80478,5;79793,7;80919,4;81425,6;80480,45
0,5;27772,2;19864,2;23828,2;7968,04;11940,1;7960,07;31753,5;17274,3;13270,9;3912,52;3845,59;0;14115,80167
0,4;608,261;631,379;554,322;665,993;631,016;621,379;610,798;623,954;561,003;660,888;631,051;626,055;618,8415833
0,3;12,0644;9,02047;9,43732;9,54868;10,5014;11,1775;10,0244;9,03042;8,3534;9,45904;9,7079;9,26675;9,799306667
0,25;3830,02;3264,24;3801,41;3734,8;3939,91;3345,42;3595,68;3643,57;3435,76;3851,3;3609,49;3495,5;3628,925
0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
0,15;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;3992;0;0;3992;0;0;0;0;0;0;0;0;665,3333333
0,05;74477,5;89790,2;89774,6;62913;23832,1;11952;23832,1;7976,02;0;0;0;0;32045,62667
0,04;138643;127501;74457,9;62901,2;55156,9;23828,2;39560,4;11952;3992;0;0;0;44832,71667
0,03;160695;116225;101125;112488;101152;66765,4;43464,6;66773,2;27776,2;0;0;0;66372,03333
0,02;232043;182453;134834;171545;149636;116210;134872;85958,4;43464,6;11952;0;0;105247,3333
0,01;224605;203675;238682;231777;192978;171408;178642;189567;97332,4;59025,2;11952;0;149970,3
Srednia:;71203,99034;61972,26497;57409,16683;56368,81761;49360,96421;41869,19666;44347,6439;39943,70465;27500,34478;20610,12919;16692,22743;15956,31386;41936,23037
Perceptron Bipolarny - nie nauczono;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;0;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0;0
0,7;0;0;0;0;0;0;0;0;0;0;0;0;0
0,6;0;0;0;0;0;0;0;0;0;0;0;0;0
0,5;0;0;0;0;0;0;0;0;0;0;0;0;0
0,4;0;0;0;0;0;0;0;0;0;0;0;0;0
0,3;0;0;0;0;0;0;0;0;0;0;0;0;0
0,25;0;0;0;0;0;0;0;0;0;0;0;0;0
0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
0,15;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
0,04;0;0;0;0;0;0;0;0;0;0;0;0;0
0,03;0;0;0;0;0;0;0;0;0;0;0;0;0
0,02;0;0;0;0;0;0;0;0;0;0;0;0;0
0,01;0;0;0;0;0;0;0;0;0;0;0;0;0
Srednia:;0;0;0;0;0;0;0;0;0;0;0;0;0
Perceptron Unipolarny - nie nauczono;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;0;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0;0
0,7;0;0;0;0;0;0;0;0;0;0;0;0;0
0,6;0;0;0;0;0;0;0;0;0;0;0;0;0
0,5;0;0;0;0;0;0;0;0;0;0;0;0;0
0,4;0;0;0;0;0;0;0;0;0;0;0;0;0
0,3;0;0;0;0;0;0;0;0;0;0;0;0;0
0,25;0;0;0;0;0;0;0;0;0;0;0;0;0
0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
0,15;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
0,04;0;0;0;0;0;0;0;0;0;0;0;0;0
0,03;0;0;0;0;0;0;0;0;0;0;0;0;0
0,02;0;0;0;0;0;0;0;0;0;0;0;0;0
0,01;0;0;0;0;0;0;0;0;0;0;0;0;0
Srednia:;0;0;0;0;0;0;0;0;0;0;0;0;0
Perceptron Adaline Bipolarny - nie nauczono;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;0;0;0;0;0;0;0;0;0;0;0;0;0
0,8;0;0;0;0;0;0;0;0;0;0;0;0;0
0,7;0;0;0;0;0;0;0;0;0;0;0;0;0
0,6;0;0;0;0;0;0;0;0;0;0;0;0;0
0,5;0;0;0;0;0;0;0;0;0;0;0;0;0
0,4;0;0;0;0;0;0;0;0;0;0;0;0;0
0,3;0;0;0;0;0;0;0;0;0;0;0;0;0
0,25;0;0;0;0;0;0;0;0;0;0;0;0;0
0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
0,15;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
0,04;0;0;0;0;0;0;0;0;0;0;0;0;0
0,03;0;0;0;0;0;0;0;0;0;0;0;0;0
0,02;0;0;0;0;0;0;0;0;0;0;0;0;0
0,01;0;0;0;0;0;0;0;0;0;0;0;0;0
Srednia:;0;0;0;0;0;0;0;0;0;0;0;0;0
Perceptron Adaline unipolarny - nie nauczono;;;;;;;;;;;;;
ucz/max;1;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,01;Œrednia:
0,9;3;2;2;2;2;2;2;2;3;2;2;2;2,166666667
0,8;23;16;11;12;11;15;13;14;13;14;13;14;14,08333333
0,7;17;19;25;22;25;26;23;23;21;21;21;21;22
0,6;1;0;0;0;0;0;0;0;0;0;0;0;0,083333333
0,5;993;995;994;998;997;998;991;995;996;999;999;1000;996,25
0,4;0;0;0;0;0;0;0;0;0;0;0;0;0
0,3;0;0;0;0;0;0;0;0;0;0;0;0;0
0,25;0;0;0;0;0;0;0;0;0;0;0;0;0
0,2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
0,15;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
0,1;999;1000;1000;999;1000;1000;1000;1000;1000;1000;1000;1000;999,8333333
0,05;981;977;977;984;994;997;994;998;1000;1000;1000;1000;991,8333333
0,04;964;967;981;984;986;994;990;997;999;1000;1000;1000;988,5
0,03;958;970;974;971;974;983;989;983;993;1000;1000;1000;982,9166667
0,02;938;952;965;955;961;970;965;978;989;997;1000;1000;972,5
0,01;940;946;936;938;949;955;953;950;975;985;997;1000;960,3333333
Srednia:;551,0625;552,75;554,0625;554,0625;556,1875;558,75;557,5;558,75;561,8125;563,625;564,5;564,8125;558,15625
